rank,name,kind,L,src,score_extra,dist_extra,n_near_extra,score_epi,dist_epi,n_near_epi
131,apt_02575,ss,50,mcts,-261.19,1.730053467381855,40,-261.19,2.6625825808789334,25
132,apt_02719,ss,50,mcts,-261.18,6.84454709969915,50,-261.18,6.863064767288752,31
133,apt_02324,ss,53,mcts,-261.12,2.4664993411716223,49,-261.12,5.537480383712433,18
134,apt_02628,ss,50,mcts,-261.05,2.552999804151976,41,-261.05,4.452280314625309,25
135,apt_01203,ss,50,mcts,-260.92,3.4910171870101236,42,-260.92,6.494563110787368,23
136,apt_01873,ss,53,mcts,-260.89,3.182959314851507,57,-260.89,5.011548064221266,39
137,apt_00438,ss,50,mcts,-260.86,3.0320514507507825,38,-260.86,3.0320514507507825,17
138,apt_00939,ss,50,mcts,-260.78,1.8842075257253232,43,-260.78,1.8842075257253232,19
139,apt_00541,ss,53,mcts,-260.72,3.1832948339731226,46,-260.72,5.249898094249065,30
140,apt_00191,ss,54,mcts,-260.71,2.2931205812167654,46,-260.71,6.904991889930069,25
141,apt_01144,ss,50,mcts,-260.68,2.603623052594209,51,-260.68,2.603623052594209,29
142,apt_01291,ss,53,mcts,-260.67,2.1666404870213096,34,-260.67,4.702179175658874,23
143,apt_00212,ss,50,mcts,-260.65,2.8416639491677964,42,-260.65,3.0872448882458405,30
144,apt_00940,ss,50,mcts,-260.63,3.5341602963080296,46,-260.63,3.8309286080531466,24
145,apt_00588,ss,51,mcts,-260.4,2.182309098180187,49,-260.4,2.182309098180187,34
146,apt_00933,ss,50,mcts,-260.33,2.488355681971527,39,-260.33,3.040069407102403,19
147,apt_01156,ss,50,mcts,-260.32,2.568080411513627,40,-260.32,3.036790904886272,24
148,apt_01431,ss,54,mcts,-260.25,2.2863414005786704,42,-260.25,3.5938760412679875,28
149,apt_02678,ss,52,mcts,-260.24,3.0536047550395105,37,-260.24,6.212397363337281,24
150,apt_00376,ss,50,mcts,-260.21,1.9457116949846343,47,-260.21,3.109447860955383,28
151,apt_00239,ss,50,mcts,-260.17,2.18175915261058,57,-260.17,2.285808828401892,40
152,apt_01728,ss,51,mcts,-260.1,2.303710919364678,51,-260.1,2.9088728057445272,22
153,apt_00785,ss,50,mcts,-259.97,2.598797029396491,42,-259.97,3.3671979448793925,18
154,apt_02240,ss,50,mcts,-259.9,2.330961175137839,39,-259.9,2.330961175137839,21
155,apt_00122,ss,50,mcts,-259.85,4.357943781188536,46,-259.85,6.978594772588536,29
156,apt_02561,ss,50,mcts,-259.83,2.4801332625486054,46,-259.83,3.370436321902561,31
157,apt_01608,ss,50,mcts,-259.79,2.278785860935578,37,-259.79,5.805368119249651,26
158,apt_00621,ss,50,mcts,-259.75,2.8117291832607254,41,-259.75,2.8129568073470437,19
159,apt_00624,ss,50,mcts,-259.73,1.9045776434684845,52,-259.73,4.745571514580718,37
160,apt_00594,ss,52,mcts,-259.5,3.002360737819496,41,-259.5,3.002360737819496,25
161,apt_00731,ss,50,mcts,-259.46,2.673208371975516,45,-259.46,2.8412738340399373,23
